Day fraction since midnight on 	pH probe (pH)
0.643480764	7.090453625
0.64349232	7.090241432
0.64350391	7.089556217
0.643515477	7.089363098
0.643527044	7.089600086
0.643538635	7.090202332
0.643550202	7.088971615
0.643561792	7.089502811
0.643573359	7.089358807
0.643584915	7.089540958
0.643596505	7.089678764
0.643608072	7.088720322
0.643619639	7.089263439
0.64363123	7.088935375
0.643642797	7.088989258
0.643654364	7.089822292
0.643665954	7.089216709
0.64367751	7.089411736
0.6436891	7.089653492
0.643700667	7.090051651
0.643712234	7.089922905
0.643723825	7.089172363
0.643735392	7.089541912
0.643746959	7.089514256
0.643758526	7.090062618
0.643770105	7.089146614
0.643781695	7.089370251
0.643793262	7.089362621
0.643804829	7.089578629
0.64381642	7.089958191
0.643827987	7.089363098
0.643839577	7.089287281
0.643851121	7.089204788
0.6438627	7.089642525
0.64387429	7.089940548
0.643885857	7.089007855
0.643897424	7.089384556
0.643909015	7.089419842
0.643920582	7.089457035
0.643932172	7.090177536
0.643943716	7.08993721
0.643955295	7.089336395
0.643966885	7.089441776
0.643978452	7.089714527
0.643990043	7.089671135
0.64400161	7.088846684
0.644013177	7.089606285
0.644024744	7.089392185
0.644036311	7.08969307
0.64404789	7.089429855
0.64405948	7.089251995
0.644071047	7.089419842
0.644082615	7.08845377
0.644094182	7.089602947
0.644105772	7.088868141
0.644117339	7.089330673
0.644128929	7.089122772
0.644140485	7.08956337
0.644152075	7.089893818
0.644163642	7.089158535
0.64417521	7.089208126
0.644186777	7.089166641
0.644198367	7.089929581
0.644209934	7.089832783
0.644221513	7.089182377
0.64423308	7.089380741
0.64424467	7.089398861
0.644256237	7.089574337
0.644267805	7.089757919
0.644279395	7.08899641
0.644290962	7.089384556
0.644302529	7.089502335
0.644314096	7.089718819
0.644325675	7.089724541
0.644337265	7.088717461
0.644348833	7.089391708
0.6443604	7.08989048
0.644371967	7.090069771
0.644383557	7.090137959
0.644395124	7.089510441
0.644406691	7.089667797
0.644418293	7.089437008
0.644429837	7.089682579
0.644441428	7.089125633
0.644452995	7.089388371
0.644464562	7.089411259
0.644476152	7.089584827
0.644487719	7.089657307
0.64449931	7.088627815
0.644510865	7.089214325
0.644522432	7.089275837
0.644534023	7.088906765
0.64454559	7.089818955
0.644557157	7.088785648
0.644568736	7.089477539
0.644580326	7.089667797
0.644591893	7.08968544
0.64460346	7.08931303
0.644615027	7.089159012
0.644626618	7.089484692
0.644638185	7.089653492
0.644649752	7.089980125
0.644661342	7.089118481
0.644672909	7.089094639
0.644684477	7.089452744
0.644696055	7.089612961
0.644707622	7.089743614
0.644719213	7.088824272
0.64473078	7.089231014
0.64474237	7.089667797
0.644753937	7.089502811
0.644765504	7.090205669
0.644777072	7.088994503
0.644788662	7.089541912
0.644800229	7.089563847
0.644811796	7.090054989
0.644823386	7.090180874
0.644834965	7.089670658
0.644846532	7.089380264
0.6448581	7.089352131
0.644869667	7.08987236
0.644881257	7.089327335
0.644892824	7.089122295
