Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()					Time	Cum Time	Inlet	Outlet
0.714473293	10.20240688	10.20240688	116136.5156	6.869999886	4.411999703	0.500526316	0.805894737					61730.49255	4620.106728	4.411999703	6.869999886
0.714531169	10.20244122	10.20244122	116126.7266	6.730000019	4.389999867	0.500526316	0.805894737					61735.49303	4625.107206	4.389999867	6.730000019
0.714589048	10.20244789	10.20244789	116126.1797	6.739999771	4.330999851	0.500526316	0.805894737					61740.49377	4630.107951	4.330999851	6.739999771
0.714646916	10.20239639	10.20239639	116127.2656	6.730000019	4.336999893	0.500526316	0.805894737					61745.49353	4635.107712	4.336999893	6.730000019
0.714704778	10.20242119	10.20242119	116116.0781	6.75	4.353000164	0.500526316	0.805894737					61750.4928	4640.10698	4.353000164	6.75
0.714762639	10.20259285	10.20259285	116118.8281	6.840000153	4.34100008	0.500526316	0.805894737					61755.49198	4645.106162	4.34100008	6.840000153
0.714820526	10.20246506	10.20246506	116135.1563	6.909999847	4.380000114	0.500526316	0.805894737					61760.49346	4650.107642	4.380000114	6.909999847
0.714878397	10.20233345	10.20233345	116127.6953	6.880000114	4.440999985	0.500526316	0.805894737					61765.49349	4655.10767	4.440999985	6.880000114
0.714936268	10.20246696	10.20246696	116129.3125	6.829999924	4.470999718	0.500526316	0.805894737					61770.49358	4660.107759	4.470999718	6.829999924
0.714994121	10.20245171	10.20245171	116127.7813	6.679999828	4.499000073	0.500526316	0.805894737					61775.49203	4665.106207	4.499000073	6.679999828
0.715051996	10.20239735	10.20239735	116118.8359	6.639999867	4.477000237	0.500526316	0.805894737					61780.49248	4670.106659	4.477000237	6.639999867
0.715109862	10.20244598	10.20244598	116118.4609	6.699999809	4.421000004	0.500526316	0.805894737					61785.49209	4675.106264	4.421000004	6.699999809
0.71516775	10.20237446	10.20237446	116123.2813	6.699999809	4.374000073	0.500526316	0.805894737					61790.49357	4680.107752	4.374000073	6.699999809
0.715225603	10.20261669	10.20261669	116140.7578	6.71999979	4.34800005	0.500526316	0.805894737					61795.49212	4685.106295	4.34800005	6.71999979
