Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()				
0.670696172	10.20259857	10.20259857	110934.3906	3.589999914	6.52699995	0.500526316	0.805894737	57933.14971	750.0069418	3.480000019	6.583000183
0.670754056	10.20241165	10.20241165	110935.5547	3.609999895	6.5	0.500526316	0.805894737	57938.15013	755.007359	3.509999991	6.568999767
0.670811923	10.20250225	10.20250225	110940.2109	3.630000114	6.496999741	0.500526316	0.805894737	57943.14898	760.0062125	3.519999981	6.56400013
0.670869789	10.20252228	10.20252228	110942.1484	3.660000086	6.501999855	0.500526316	0.805894737	57948.14924	765.0064742	3.559999943	6.540999889
0.670927709	10.20244789	10.20244789	110939.5078	3.670000076	6.478000164	0.500526316	0.805894737	57953.15042	770.0076518	3.589999914	6.52699995
0.670985566	10.20255089	10.20255089	110959.7266	3.759999991	6.481999874	0.500526316	0.805894737	57958.15015	775.0073779	3.609999895	6.5
0.671043451	10.20249462	10.20249462	110946.6641	3.730000019	6.453999996	0.500526316	0.805894737	57963.14979	780.0070176	3.630000114	6.496999741
0.671101324	10.20256519	10.20256519	110945.0313	3.74000001	6.425000191	0.500526316	0.805894737	57968.15402	785.0112538	3.660000086	6.501999855
0.671159174	10.20258331	10.20258331	110947.8594	3.75	6.423999786	0.500526316	0.805894737	57973.1529	790.0101331	3.670000076	6.478000164
0.671217049	10.20252419	10.20252419	110940.7969	3.769999981	6.477000237	0.500526316	0.805894737	57978.15412	795.0113539	3.759999991	6.481999874
0.671274901	10.20231438	10.20231438	110960.25	3.779999971	6.474999905	0.500526316	0.805894737	57983.15438	800.011607	3.730000019	6.453999996
0.671332799	10.20244217	10.20244217	110961.5625	3.809999943	6.46600008	0.500526316	0.805894737	57988.15265	805.0098816	3.74000001	6.425000191
0.671390643	10.20258904	10.20258904	110952.875	3.829999924	6.463999748	0.500526316	0.805894737	57993.15299	810.0102211	3.75	6.423999786
