Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()						Time	Cum Time	Inlet	Outlet
0.613775953	10.20246601	10.20246601	116209.2031	2.609999895	4.357999802	0.500526316	0.805894737						53030.24234	370.0139443	4.357999802	2.609999895
0.613833852	10.20254803	10.20254803	116195.75	2.579999924	4.371999741	0.500526316	0.805894737						53035.24481	375.0164179	4.371999741	2.579999924
0.613891719	10.20260429	10.20260429	116195	2.889999867	4.513000011	0.500526316	0.805894737						53040.24449	380.0160922	4.513000011	2.889999867
0.613949589	10.20250893	10.20250893	116187.0391	3.170000076	4.493000031	0.500526316	0.805894737						53045.24452	385.0161293	4.493000031	3.170000076
0.61400746	10.2025156	10.2025156	116190.7734	3.160000086	4.460000038	0.500526316	0.805894737						53050.24458	390.0161837	4.460000038	3.160000086
0.614065379	10.20265388	10.20265388	116185.6875	3.019999981	4.425000191	0.500526316	0.805894737						53055.24871	395.0203162	4.425000191	3.019999981
0.614123221	10.20265102	10.20265102	116192.2344	3.039999962	4.420000076	0.500526316	0.805894737						53060.24626	400.017865	4.420000076	3.039999962
0.614181095	10.20261478	10.20261478	116184.9063	2.829999924	4.402999878	0.500526316	0.805894737						53065.24662	405.0182218	4.402999878	2.829999924
0.61423898	10.20256424	10.20256424	116177.1094	2.650000095	4.404999733	0.500526316	0.805894737						53070.24786	410.0194685	4.404999733	2.650000095
0.614296856	10.20252037	10.20252037	116174.4453	3.150000095	4.394999981	0.500526316	0.805894737						53075.24834	415.0199462	4.394999981	3.150000095
0.614354653	10.20245743	10.20245743	116172.9063	3.279999971	4.392000198	0.500526316	0.805894737						53080.24204	420.0136416	4.392000198	3.279999971
0.614412582	10.20252895	10.20252895	116171.0859	3.309999943	4.392000198	0.500526316	0.805894737						53085.24709	425.0186986	4.392000198	3.309999943
0.614470471	10.20263767	10.20263767	116156.3594	3.549999952	4.406000137	0.500526316	0.805894737						53090.24869	430.0202995	4.406000137	3.549999952
0.614528351	10.20267391	10.20267391	116169.3672	3.180000067	4.418000221	0.500526316	0.805894737						53095.24952	435.0211229	4.418000221	3.180000067
0.614586243	10.20258522	10.20258522	116145.7578	3.180000067	4.44299984	0.500526316	0.805894737						53100.25141	440.0230176	4.44299984	3.180000067
0.614644026	10.20275688	10.20275688	116144.6172	3.190000057	4.436999798	0.500526316	0.805894737						53105.24386	445.0154688	4.436999798	3.190000057
0.614702009	10.20248413	10.20248413	116155.3594	3.190000057	4.436999798	0.500526316	0.805894737						53110.25355	450.0251568	4.436999798	3.190000057
0.614759775	10.20257473	10.20257473	116134.9219	3.650000095	4.447999954	0.500526316	0.805894737						53115.24453	455.0161392	4.447999954	3.650000095
0.61481764	10.20259666	10.20259666	116143.25	3.329999924	4.446000099	0.500526316	0.805894737						53120.24407	460.0156752	4.446000099	3.329999924
0.61487561	10.20256138	10.20256138	116134.75	3.009999991	4.437999725	0.500526316	0.805894737						53125.25274	465.0243437	4.437999725	3.009999991
0.61493343	10.20266628	10.20266628	116146.3438	3.369999886	4.441999912	0.500526316	0.805894737						53130.24831	470.0199139	4.441999912	3.369999886
0.614991304	10.20246696	10.20246696	116155.8828	3.180000067	4.561999798	0.500526316	0.805894737						53135.24867	475.0202707	4.561999798	3.180000067
0.615049148	10.20264053	10.20264053	116167.8125	2.980000019	4.514999867	0.500526316	0.805894737						53140.24638	480.0179837	4.514999867	2.980000019
0.615107071	10.20257664	10.20257664	116162.4922	2.869999886	4.473999977	0.500526316	0.805894737						53145.25091	485.0225136	4.473999977	2.869999886
0.615164944	10.20253372	10.20253372	116170.5938	3.079999924	4.513000011	0.500526316	0.805894737						53150.25114	490.0227408	4.513000011	3.079999924
0.615222819	10.20252514	10.20252514	116169.625	3.319999933	4.554999828	0.500526316	0.805894737						53155.25152	495.0231235	4.554999828	3.319999933
