Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()					Time	Cum Time	Inlet	Outlet
0.59488181	10.20253086	10.20253086	115601.9219	1.720000029	4.937999725	0.500526316	0.805894737					51397.78839	374.9972	4.937999725	1.720000029
0.594939694	10.20249081	10.20249081	115622.2578	1.659999967	4.902999878	0.500526316	0.805894737					51402.78956	379.99837	4.902999878	1.659999967
0.594997556	10.20271873	10.20271873	115616.7734	1.569999933	4.900000095	0.500526316	0.805894737					51407.78886	384.99767	4.900000095	1.569999933
0.59505542	10.20261192	10.20261192	115645.0938	1.590000033	4.886000156	0.500526316	0.805894737					51412.78824	389.99705	4.886000156	1.590000033
0.595113289	10.20261669	10.20261669	115645.3828	1.75	4.88199997	0.500526316	0.805894737					51417.78814	394.99695	4.88199997	1.75
0.595171152	10.20248699	10.20248699	115641.5859	1.629999995	4.875	0.500526316	0.805894737					51422.78754	399.99635	4.875	1.629999995
0.595229066	10.20252895	10.20252895	115638.6719	1.569999933	4.889999867	0.500526316	0.805894737					51427.79128	405.00009	4.889999867	1.569999933
0.595286933	10.20263386	10.20263386	115647.5859	1.600000024	4.889999867	0.500526316	0.805894737					51432.79098	409.99979	4.889999867	1.600000024
0.595344704	10.20254326	10.20254326	115650.0469	1.759999991	4.888000011	0.500526316	0.805894737					51437.78246	414.99127	4.888000011	1.759999991
0.595402695	10.20260906	10.20260906	115645.5078	1.799999952	4.893000126	0.500526316	0.805894737					51442.7928	420.00161	4.893000126	1.799999952
0.595460438	10.2024765	10.2024765	115672.4141	1.730000019	4.909999847	0.500526316	0.805894737					51447.78181	424.99062	4.909999847	1.730000019
0.595518419	10.20272923	10.20272923	115658.7969	1.669999957	4.90899992	0.500526316	0.805894737					51452.79144	430.00025	4.90899992	1.669999957
0.595576293	10.20260811	10.20260811	115671.3906	1.629999995	4.916999817	0.500526316	0.805894737					51457.79169	435.0005	4.916999817	1.629999995
0.595634153	10.20261955	10.20261955	115680.8203	1.569999933	4.925000191	0.500526316	0.805894737					51462.79078	439.99959	4.925000191	1.569999933
0.59569204	10.20252895	10.20252895	115687.8281	1.669999957	4.926000118	0.500526316	0.805894737					51467.79227	445.00108	4.926000118	1.669999957
0.59574991	10.20260429	10.20260429	115696.6797	1.679999948	4.927000046	0.500526316	0.805894737					51472.79223	450.00104	4.927000046	1.679999948
0.595807738	10.20246601	10.20246601	115695.9375	1.679999948	4.927999973	0.500526316	0.805894737					51477.78853	454.99734	4.927999973	1.679999948
0.595865617	10.2025795	10.2025795	115693.7656	1.649999976	4.946000099	0.500526316	0.805894737					51482.78927	459.99808	4.946000099	1.649999976
0.595923493	10.20259762	10.20259762	115703.1094	1.700000048	4.973999977	0.500526316	0.805894737					51487.7898	464.99861	4.973999977	1.700000048
0.595981365	10.20263004	10.20263004	115703.2891	1.74000001	4.995999813	0.500526316	0.805894737					51492.78991	469.99872	4.995999813	1.74000001
0.596039229	10.20269299	10.20269299	115708.6172	1.720000029	4.998000145	0.500526316	0.805894737					51497.78941	474.99822	4.998000145	1.720000029
0.596097099	10.202672	10.202672	115718.125	1.75	4.962999821	0.500526316	0.805894737					51502.78939	479.9982	4.962999821	1.75
0.596154965	10.20247364	10.20247364	115717.6406	1.75	4.955999851	0.500526316	0.805894737					51507.78901	484.99782	4.955999851	1.75
0.596212822	10.20256424	10.20256424	115728.1953	1.769999981	4.959000111	0.500526316	0.805894737					51512.78785	489.99666	4.959000111	1.769999981
0.596270708	10.2026844	10.2026844	115725.8906	1.700000048	4.952000141	0.500526316	0.805894737					51517.78917	494.99798	4.952000141	1.700000048
0.596328557	10.20260525	10.20260525	115734.0625	1.74000001	4.961999893	0.500526316	0.805894737					51522.78736	499.99617	4.961999893	1.74000001
0.596386438	10.20251274	10.20251274	115723.5234	1.74000001	4.943999767	0.500526316	0.805894737					51527.78825	504.99706	4.943999767	1.74000001
0.596444309	10.20254707	10.20254707	115747.5391	1.710000038	4.928999901	0.500526316	0.805894737					51532.78832	509.99713	4.928999901	1.710000038
0.596502179	10.20260143	10.20260143	115728.3984	1.679999948	4.930999756	0.500526316	0.805894737					51537.78826	514.99707	4.930999756	1.679999948
0.596560038	10.20260715	10.20260715	115750.0781	1.649999976	4.985000134	0.500526316	0.805894737					51542.7873	519.99611	4.985000134	1.649999976
0.596617913	10.20272255	10.20272255	115756.7656	1.74000001	5.00399971	0.500526316	0.805894737					51547.78765	524.99646	5.00399971	1.74000001
0.59667579	10.20251179	10.20251179	115757.4922	1.769999981	5.011000156	0.500526316	0.805894737					51552.78828	529.99709	5.011000156	1.769999981
0.596733663	10.20246315	10.20246315	115763.7109	1.74000001	5.011000156	0.500526316	0.805894737					51557.78852	534.99733	5.011000156	1.74000001
0.596791522	10.20261097	10.20261097	115749.3984	1.779999971	5.00399971	0.500526316	0.805894737					51562.78751	539.99632	5.00399971	1.779999971
0.596849385	10.20252228	10.20252228	115769.0781	1.789999962	4.995999813	0.500526316	0.805894737					51567.7869	544.99571	4.995999813	1.789999962
0.596907274	10.20256329	10.20256329	115759.7109	1.840000033	5.046999931	0.500526316	0.805894737					51572.78843	549.99724	5.046999931	1.840000033
0.596965137	10.20246029	10.20246029	115763.1563	1.879999995	5.072999954	0.500526316	0.805894737					51577.78782	554.99663	5.072999954	1.879999995
0.597023004	10.20275211	10.20275211	115768.9531	1.840000033	5.09800005	0.500526316	0.805894737					51582.78755	559.99636	5.09800005	1.840000033
0.597080874	10.20267391	10.20267391	115772.3906	1.809999943	5.085000038	0.500526316	0.805894737					51587.7875	564.99631	5.085000038	1.809999943
0.597138745	10.20258331	10.20258331	115787.2109	1.879999995	5.05700016	0.500526316	0.805894737					51592.78757	569.99638	5.05700016	1.879999995
0.597196606	10.20253086	10.20253086	115793.7656	1.879999995	5.06400013	0.500526316	0.805894737					51597.78678	574.99559	5.06400013	1.879999995
0.597254482	10.20252705	10.20252705	115781.8047	1.919999957	5.048999786	0.500526316	0.805894737					51602.78724	579.99605	5.048999786	1.919999957
0.597312375	10.20256424	10.20256424	115789.2891	1.850000024	4.991000176	0.500526316	0.805894737					51607.78918	584.99799	4.991000176	1.850000024
0.597370243	10.20250416	10.20250416	115795.3047	1.830000043	4.978000164	0.500526316	0.805894737					51612.78897	589.99778	4.978000164	1.830000043
0.597428148	10.20265007	10.20265007	115809.6797	1.819999933	5.06799984	0.500526316	0.805894737					51617.79198	595.00079	5.06799984	1.819999933
0.59748591	10.20262527	10.20262527	115811.7109	1.879999995	5.088999748	0.500526316	0.805894737					51622.78261	599.99142	5.088999748	1.879999995
0.597543902	10.202672	10.202672	115814.2969	1.899999976	5.051000118	0.500526316	0.805894737					51627.79312	605.00193	5.051000118	1.899999976
0.597601772	10.20253754	10.20253754	115826.9844	1.909999967	5.011000156	0.500526316	0.805894737					51632.79307	610.00188	5.011000156	1.909999967
0.597659626	10.2025938	10.2025938	115856.1797	1.899999976	5.025000095	0.500526316	0.805894737					51637.79169	615.0005	5.025000095	1.899999976
0.597717495	10.20244789	10.20244789	115840.4063	1.909999967	5.021999836	0.500526316	0.805894737					51642.79153	620.00034	5.021999836	1.909999967
0.59777526	10.20253849	10.20253849	115851.7109	1.870000005	4.994999886	0.500526316	0.805894737					51647.7825	624.99131	4.994999886	1.870000005
0.597833237	10.20260429	10.20260429	115847.4531	1.929999948	5.327000141	0.500526316	0.805894737					51652.79166	630.00047	5.327000141	1.929999948
0.597891106	10.20248985	10.20248985	115860.8438	1.970000029	5.228000164	0.500526316	0.805894737					51657.79152	635.00033	5.228000164	1.970000029
0.59794897	10.20247459	10.20247459	115861.1484	1.980000019	5.147999764	0.500526316	0.805894737					51662.79103	639.99984	5.147999764	1.980000019
0.598006839	10.20266438	10.20266438	115875.7188	2.099999905	5.09100008	0.500526316	0.805894737					51667.79091	644.99972	5.09100008	2.099999905
0.59806472	10.20259094	10.20259094	115879.0625	2.119999886	5.039999962	0.500526316	0.805894737					51672.79176	650.00057	5.039999962	2.119999886
0.598122581	10.20265865	10.20265865	115868.0547	2.089999914	5.025000095	0.500526316	0.805894737					51677.79102	654.99983	5.025000095	2.089999914
0.598180443	10.20254421	10.20254421	115879.7891	2.009999991	5.054999828	0.500526316	0.805894737					51682.79031	659.99912	5.054999828	2.009999991
0.59823833	10.2024622	10.2024622	115894.8281	1.960000038	5.048999786	0.500526316	0.805894737					51687.79168	665.00049	5.048999786	1.960000038
0.59829619	10.20265007	10.20265007	115886.1563	1.940000057	4.999000073	0.500526316	0.805894737					51692.79078	669.99959	4.999000073	1.940000057
0.598354068	10.20248318	10.20248318	115903.2266	1.899999976	4.980000019	0.500526316	0.805894737					51697.79143	675.00024	4.980000019	1.899999976
0.59841194	10.20255375	10.20255375	115890.2344	1.970000029	4.980000019	0.500526316	0.805894737					51702.79164	680.00045	4.980000019	1.970000029
0.598469803	10.20244026	10.20244026	115889.4375	1.940000057	4.967000008	0.500526316	0.805894737					51707.79096	684.99977	4.967000008	1.940000057
0.598527673	10.20271301	10.20271301	115909.7031	1.919999957	4.958000183	0.500526316	0.805894737					51712.79095	689.99976	4.958000183	1.919999957
0.598585538	10.20254707	10.20254707	115904	1.940000057	4.959000111	0.500526316	0.805894737					51717.79052	694.99933	4.959000111	1.940000057
0.598643389	10.20253372	10.20253372	115902.5625	1.929999948	4.960000038	0.500526316	0.805894737					51722.78882	699.99763	4.960000038	1.929999948
0.59870125	10.20245552	10.20245552	115911.5078	1.909999967	4.953999996	0.500526316	0.805894737					51727.78796	704.99677	4.953999996	1.909999967
0.598759119	10.202631	10.202631	115925.2891	1.850000024	4.963999748	0.500526316	0.805894737					51732.78792	709.99673	4.963999748	1.850000024
0.598816991	10.20251465	10.20251465	115918.25	1.860000014	5.015999794	0.500526316	0.805894737					51737.78803	714.99684	5.015999794	1.860000014
0.598874854	10.20266151	10.20266151	115918.6484	1.899999976	5.053999901	0.500526316	0.805894737					51742.78735	719.99616	5.053999901	1.899999976
0.598932726	10.20253849	10.20253849	115923.6406	1.909999967	5.071000099	0.500526316	0.805894737					51747.78751	724.99632	5.071000099	1.909999967
0.598990596	10.20265388	10.20265388	115921.6641	1.929999948	5.071000099	0.500526316	0.805894737					51752.78748	729.99629	5.071000099	1.929999948
0.599048472	10.20269489	10.20269489	115925.1094	1.980000019	5.070000172	0.500526316	0.805894737					51757.78798	734.99679	5.070000172	1.980000019
0.599106334	10.20262909	10.20262909	115921.3906	1.929999948	5.043000221	0.500526316	0.805894737					51762.78721	739.99602	5.043000221	1.929999948
0.599164214	10.20241928	10.20241928	115935.7656	2.049999952	5.044000149	0.500526316	0.805894737					51767.78808	744.99689	5.044000149	2.049999952
0.599222086	10.20250607	10.20250607	115936.2578	2.009999991	5.031000137	0.500526316	0.805894737					51772.78825	749.99706	5.031000137	2.009999991
0.59927996	10.2025938	10.2025938	115925.4766	1.99000001	5.007999897	0.500526316	0.805894737					51777.78854	754.99735	5.007999897	1.99000001
0.599337839	10.20253372	10.20253372	115942.2578	1.950000048	4.963999748	0.500526316	0.805894737					51782.78929	759.9981	4.963999748	1.950000048
0.599395701	10.20262718	10.20262718	115952.2656	1.950000048	4.965000153	0.500526316	0.805894737					51787.7886	764.99741	4.965000153	1.950000048
0.5994535	10.20255852	10.20255852	115947.0781	1.919999957	4.980000019	0.500526316	0.805894737					51792.78237	769.99118	4.980000019	1.919999957
0.599511494	10.20263767	10.20263767	115929.8125	1.970000029	4.987999916	0.500526316	0.805894737					51797.79307	775.00188	4.987999916	1.970000029
0.599569254	10.20259476	10.20259476	115954.0703	1.980000019	4.996999741	0.500526316	0.805894737					51802.7835	779.99231	4.996999741	1.980000019
0.599627118	10.20262146	10.20262146	115938.2109	1.980000019	5.012000084	0.500526316	0.805894737					51807.78297	784.99178	5.012000084	1.980000019
0.599685064	10.20244694	10.20244694	115963.3438	2	5.047999859	0.500526316	0.805894737					51812.78955	789.99836	5.047999859	2
0.599742931	10.20254803	10.20254803	115934.0391	2.079999924	5.022999764	0.500526316	0.805894737					51817.78925	794.99806	5.022999764	2.079999924
0.599800797	10.20260906	10.20260906	115938.4609	2.109999895	4.986999989	0.500526316	0.805894737					51822.78884	799.99765	4.986999989	2.109999895
0.599858678	10.202631	10.202631	115945.6406	2.049999952	4.982999802	0.500526316	0.805894737					51827.78977	804.99858	4.982999802	2.049999952
0.599916541	10.20252323	10.20252323	115942.9453	2.089999914	4.989999771	0.500526316	0.805894737					51832.7891	809.99791	4.989999771	2.089999914
0.599974403	10.20258331	10.20258331	115939.7422	2.089999914	4.982999802	0.500526316	0.805894737					51837.78845	814.99726	4.982999802	2.089999914
0.600032285	10.20257378	10.20257378	115946.6094	2.139999867	4.980000019	0.500526316	0.805894737					51842.78943	819.99824	4.980000019	2.139999867
0.600090163	10.20256042	10.20256042	115955.4609	2.130000114	4.973999977	0.500526316	0.805894737					51847.79012	824.99893	4.973999977	2.130000114
0.600148047	10.20250988	10.20250988	115961.5938	2.210000038	4.993000031	0.500526316	0.805894737					51852.79128	830.00009	4.993000031	2.210000038
0.600205905	10.20244122	10.20244122	115968.8672	2.299999952	5.070000172	0.500526316	0.805894737					51857.79022	834.99903	5.070000172	2.299999952
0.600263788	10.20259476	10.20259476	115971.9297	2.170000076	5.078000069	0.500526316	0.805894737					51862.79131	840.00012	5.078000069	2.170000076
0.600321646	10.20253754	10.20253754	115936.9766	2.109999895	5.092999935	0.500526316	0.805894737					51867.79023	844.99904	5.092999935	2.109999895
0.60037953	10.20256233	10.20256233	115958.5469	2.039999962	5.097000122	0.500526316	0.805894737					51872.79141	850.00022	5.097000122	2.039999962
0.600437391	10.20259762	10.20259762	115972.4141	2.009999991	5.106999874	0.500526316	0.805894737					51877.79059	854.9994	5.106999874	2.009999991
